"year","value","state","item","units","base"
1971,10.759675,"CO","Total Personal Income","Billion Dollars","Nominal"
1972,12.176075,"CO","Total Personal Income","Billion Dollars","Nominal"
1973,13.9231,"CO","Total Personal Income","Billion Dollars","Nominal"
1974,15.609175,"CO","Total Personal Income","Billion Dollars","Nominal"
1975,17.249725,"CO","Total Personal Income","Billion Dollars","Nominal"
1976,18.98125,"CO","Total Personal Income","Billion Dollars","Nominal"
1977,21.17425,"CO","Total Personal Income","Billion Dollars","Nominal"
1978,24.413525,"CO","Total Personal Income","Billion Dollars","Nominal"
1979,27.9739,"CO","Total Personal Income","Billion Dollars","Nominal"
1980,32.0526,"CO","Total Personal Income","Billion Dollars","Nominal"
1981,36.843,"CO","Total Personal Income","Billion Dollars","Nominal"
1982,40.4689,"CO","Total Personal Income","Billion Dollars","Nominal"
1983,43.69165,"CO","Total Personal Income","Billion Dollars","Nominal"
1984,47.578725,"CO","Total Personal Income","Billion Dollars","Nominal"
1985,50.442375,"CO","Total Personal Income","Billion Dollars","Nominal"
1986,52.39705,"CO","Total Personal Income","Billion Dollars","Nominal"
1987,54.179275,"CO","Total Personal Income","Billion Dollars","Nominal"
1988,57.48295,"CO","Total Personal Income","Billion Dollars","Nominal"
1989,61.922075,"CO","Total Personal Income","Billion Dollars","Nominal"
1990,65.63165,"CO","Total Personal Income","Billion Dollars","Nominal"
1991,69.632925,"CO","Total Personal Income","Billion Dollars","Nominal"
1992,75.5118,"CO","Total Personal Income","Billion Dollars","Nominal"
1993,81.698775,"CO","Total Personal Income","Billion Dollars","Nominal"
1994,87.838875,"CO","Total Personal Income","Billion Dollars","Nominal"
1995,95.469,"CO","Total Personal Income","Billion Dollars","Nominal"
1996,102.97495,"CO","Total Personal Income","Billion Dollars","Nominal"
1997,110.72155,"CO","Total Personal Income","Billion Dollars","Nominal"
1998,122.57795,"CO","Total Personal Income","Billion Dollars","Nominal"
1999,131.712725,"CO","Total Personal Income","Billion Dollars","Nominal"
2000,146.560775,"CO","Total Personal Income","Billion Dollars","Nominal"
2001,154.06675,"CO","Total Personal Income","Billion Dollars","Nominal"
2002,154.4923,"CO","Total Personal Income","Billion Dollars","Nominal"
2003,157.405275,"CO","Total Personal Income","Billion Dollars","Nominal"
2004,163.568475,"CO","Total Personal Income","Billion Dollars","Nominal"
2005,174.247775,"CO","Total Personal Income","Billion Dollars","Nominal"
2006,188.197,"CO","Total Personal Income","Billion Dollars","Nominal"
2007,200.61115,"CO","Total Personal Income","Billion Dollars","Nominal"
2008,210.065775,"CO","Total Personal Income","Billion Dollars","Nominal"
2009,200.170025,"CO","Total Personal Income","Billion Dollars","Nominal"
2010,206.0534,"CO","Total Personal Income","Billion Dollars","Nominal"
2011,223.87385,"CO","Total Personal Income","Billion Dollars","Nominal"
2012,236.032975,"CO","Total Personal Income","Billion Dollars","Nominal"
2013,247.81675,"CO","Total Personal Income","Billion Dollars","Nominal"
2014,268.453075,"CO","Total Personal Income","Billion Dollars","Nominal"
2015,279.696025,"CO","Total Personal Income","Billion Dollars","Nominal"
2016,283.6787,"CO","Total Personal Income","Billion Dollars","Nominal"
2017,303.366725,"CO","Total Personal Income","Billion Dollars","Nominal"
2018,328.112725,"CO","Total Personal Income","Billion Dollars","Nominal"
2019,351.476,"CO","Total Personal Income","Billion Dollars","Nominal"
2020,374.262225,"CO","Total Personal Income","Billion Dollars","Nominal"
2021,416.727075,"CO","Total Personal Income","Billion Dollars","Nominal"
2022,447.85445,"CO","Total Personal Income","Billion Dollars","Nominal"
2023,470.605925,"CO","Total Personal Income","Billion Dollars","Nominal"
2024,489.7754,"CO","Total Personal Income","Billion Dollars","Nominal"
1948,3.508875,"CT","Total Personal Income","Billion Dollars","Nominal"
1949,3.41735,"CT","Total Personal Income","Billion Dollars","Nominal"
1950,3.867575,"CT","Total Personal Income","Billion Dollars","Nominal"
1951,4.44415,"CT","Total Personal Income","Billion Dollars","Nominal"
1952,4.86075,"CT","Total Personal Income","Billion Dollars","Nominal"
1953,5.26985,"CT","Total Personal Income","Billion Dollars","Nominal"
1954,5.373775,"CT","Total Personal Income","Billion Dollars","Nominal"
1955,5.78785,"CT","Total Personal Income","Billion Dollars","Nominal"
1956,6.3235,"CT","Total Personal Income","Billion Dollars","Nominal"
1957,6.744325,"CT","Total Personal Income","Billion Dollars","Nominal"
1958,6.537975,"CT","Total Personal Income","Billion Dollars","Nominal"
1959,6.986925,"CT","Total Personal Income","Billion Dollars","Nominal"
1960,7.2761,"CT","Total Personal Income","Billion Dollars","Nominal"
1961,7.70175,"CT","Total Personal Income","Billion Dollars","Nominal"
1962,8.227225,"CT","Total Personal Income","Billion Dollars","Nominal"
1963,8.691075,"CT","Total Personal Income","Billion Dollars","Nominal"
1964,9.3348,"CT","Total Personal Income","Billion Dollars","Nominal"
1965,10.0386,"CT","Total Personal Income","Billion Dollars","Nominal"
1966,11.0235,"CT","Total Personal Income","Billion Dollars","Nominal"
1967,12.086425,"CT","Total Personal Income","Billion Dollars","Nominal"
1968,12.828775,"CT","Total Personal Income","Billion Dollars","Nominal"
1969,14.692525,"CT","Total Personal Income","Billion Dollars","Nominal"
1970,15.673825,"CT","Total Personal Income","Billion Dollars","Nominal"
1971,16.5144,"CT","Total Personal Income","Billion Dollars","Nominal"
1972,17.804675,"CT","Total Personal Income","Billion Dollars","Nominal"
1973,19.39335,"CT","Total Personal Income","Billion Dollars","Nominal"
1974,21.15725,"CT","Total Personal Income","Billion Dollars","Nominal"
1975,22.72555,"CT","Total Personal Income","Billion Dollars","Nominal"
1976,24.5364,"CT","Total Personal Income","Billion Dollars","Nominal"
1977,27.03265,"CT","Total Personal Income","Billion Dollars","Nominal"
1978,30.080875,"CT","Total Personal Income","Billion Dollars","Nominal"
1979,33.8165,"CT","Total Personal Income","Billion Dollars","Nominal"
1980,38.512125,"CT","Total Personal Income","Billion Dollars","Nominal"
1981,43.17925,"CT","Total Personal Income","Billion Dollars","Nominal"
1982,46.620375,"CT","Total Personal Income","Billion Dollars","Nominal"
1983,49.9573,"CT","Total Personal Income","Billion Dollars","Nominal"
1984,55.764275,"CT","Total Personal Income","Billion Dollars","Nominal"
1985,59.93385,"CT","Total Personal Income","Billion Dollars","Nominal"
1986,64.498725,"CT","Total Personal Income","Billion Dollars","Nominal"
1987,70.109825,"CT","Total Personal Income","Billion Dollars","Nominal"
1988,77.60215,"CT","Total Personal Income","Billion Dollars","Nominal"
1989,84.16195,"CT","Total Personal Income","Billion Dollars","Nominal"
1990,86.8831,"CT","Total Personal Income","Billion Dollars","Nominal"
1991,87.907575,"CT","Total Personal Income","Billion Dollars","Nominal"
1992,94.201375,"CT","Total Personal Income","Billion Dollars","Nominal"
1993,97.257675,"CT","Total Personal Income","Billion Dollars","Nominal"
1994,99.9925,"CT","Total Personal Income","Billion Dollars","Nominal"
1995,105.483775,"CT","Total Personal Income","Billion Dollars","Nominal"
1996,110.516,"CT","Total Personal Income","Billion Dollars","Nominal"
1997,117.285375,"CT","Total Personal Income","Billion Dollars","Nominal"
1998,126.66645,"CT","Total Personal Income","Billion Dollars","Nominal"
1999,133.690125,"CT","Total Personal Income","Billion Dollars","Nominal"
2000,146.216925,"CT","Total Personal Income","Billion Dollars","Nominal"
2001,154.5859,"CT","Total Personal Income","Billion Dollars","Nominal"
2002,154.45275,"CT","Total Personal Income","Billion Dollars","Nominal"
2003,156.438625,"CT","Total Personal Income","Billion Dollars","Nominal"
2004,164.657425,"CT","Total Personal Income","Billion Dollars","Nominal"
2005,173.328775,"CT","Total Personal Income","Billion Dollars","Nominal"
2006,187.213125,"CT","Total Personal Income","Billion Dollars","Nominal"
2007,201.450375,"CT","Total Personal Income","Billion Dollars","Nominal"
2008,214.65825,"CT","Total Personal Income","Billion Dollars","Nominal"
2009,212.23375,"CT","Total Personal Income","Billion Dollars","Nominal"
2010,219.80125,"CT","Total Personal Income","Billion Dollars","Nominal"
2011,226.30575,"CT","Total Personal Income","Billion Dollars","Nominal"
2012,229.133075,"CT","Total Personal Income","Billion Dollars","Nominal"
2013,223.834325,"CT","Total Personal Income","Billion Dollars","Nominal"
2014,233.084,"CT","Total Personal Income","Billion Dollars","Nominal"
2015,239.184875,"CT","Total Personal Income","Billion Dollars","Nominal"
2016,243.6987,"CT","Total Personal Income","Billion Dollars","Nominal"
2017,249.4511,"CT","Total Personal Income","Billion Dollars","Nominal"
2018,260.5822,"CT","Total Personal Income","Billion Dollars","Nominal"
2019,267.56425,"CT","Total Personal Income","Billion Dollars","Nominal"
2020,274.86205,"CT","Total Personal Income","Billion Dollars","Nominal"
2021,294.6321,"CT","Total Personal Income","Billion Dollars","Nominal"
2022,306.7176,"CT","Total Personal Income","Billion Dollars","Nominal"
2023,325.3458,"CT","Total Personal Income","Billion Dollars","Nominal"
2024,340.39245,"CT","Total Personal Income","Billion Dollars","Nominal"
1948,0.523925,"DE","Total Personal Income","Billion Dollars","Nominal"
1949,0.570025,"DE","Total Personal Income","Billion Dollars","Nominal"
1950,0.66815,"DE","Total Personal Income","Billion Dollars","Nominal"
1951,0.717725,"DE","Total Personal Income","Billion Dollars","Nominal"
1952,0.770125,"DE","Total Personal Income","Billion Dollars","Nominal"
1953,0.825025,"DE","Total Personal Income","Billion Dollars","Nominal"
1954,0.857025,"DE","Total Personal Income","Billion Dollars","Nominal"
1955,0.988875,"DE","Total Personal Income","Billion Dollars","Nominal"
1956,1.14125,"DE","Total Personal Income","Billion Dollars","Nominal"
1957,1.148975,"DE","Total Personal Income","Billion Dollars","Nominal"
1958,1.181025,"DE","Total Personal Income","Billion Dollars","Nominal"
1959,1.23155,"DE","Total Personal Income","Billion Dollars","Nominal"
1960,1.290075,"DE","Total Personal Income","Billion Dollars","Nominal"
1961,1.3312,"DE","Total Personal Income","Billion Dollars","Nominal"
1962,1.413525,"DE","Total Personal Income","Billion Dollars","Nominal"
1963,1.5167,"DE","Total Personal Income","Billion Dollars","Nominal"
1964,1.6412,"DE","Total Personal Income","Billion Dollars","Nominal"
1965,1.80565,"DE","Total Personal Income","Billion Dollars","Nominal"
1966,1.902575,"DE","Total Personal Income","Billion Dollars","Nominal"
1967,2.030575,"DE","Total Personal Income","Billion Dollars","Nominal"
1968,2.2152,"DE","Total Personal Income","Billion Dollars","Nominal"
1969,2.441175,"DE","Total Personal Income","Billion Dollars","Nominal"
1970,2.599925,"DE","Total Personal Income","Billion Dollars","Nominal"
1971,2.844075,"DE","Total Personal Income","Billion Dollars","Nominal"
1972,3.12495,"DE","Total Personal Income","Billion Dollars","Nominal"
1973,3.462275,"DE","Total Personal Income","Billion Dollars","Nominal"
1974,3.747075,"DE","Total Personal Income","Billion Dollars","Nominal"
1975,4.029225,"DE","Total Personal Income","Billion Dollars","Nominal"
1976,4.403975,"DE","Total Personal Income","Billion Dollars","Nominal"
1977,4.741125,"DE","Total Personal Income","Billion Dollars","Nominal"
1978,5.2016,"DE","Total Personal Income","Billion Dollars","Nominal"
1979,5.718275,"DE","Total Personal Income","Billion Dollars","Nominal"
1980,6.434025,"DE","Total Personal Income","Billion Dollars","Nominal"
1981,7.083825,"DE","Total Personal Income","Billion Dollars","Nominal"
1982,7.621175,"DE","Total Personal Income","Billion Dollars","Nominal"
1983,8.13205,"DE","Total Personal Income","Billion Dollars","Nominal"
1984,8.95495,"DE","Total Personal Income","Billion Dollars","Nominal"
1985,9.7237,"DE","Total Personal Income","Billion Dollars","Nominal"
1986,10.34945,"DE","Total Personal Income","Billion Dollars","Nominal"
1987,11.139875,"DE","Total Personal Income","Billion Dollars","Nominal"
1988,12.2475,"DE","Total Personal Income","Billion Dollars","Nominal"
1989,13.62105,"DE","Total Personal Income","Billion Dollars","Nominal"
1990,14.370175,"DE","Total Personal Income","Billion Dollars","Nominal"
1991,15.2164,"DE","Total Personal Income","Billion Dollars","Nominal"
1992,15.8498,"DE","Total Personal Income","Billion Dollars","Nominal"
1993,16.4584,"DE","Total Personal Income","Billion Dollars","Nominal"
1994,17.157625,"DE","Total Personal Income","Billion Dollars","Nominal"
1995,18.15705,"DE","Total Personal Income","Billion Dollars","Nominal"
1996,19.4061,"DE","Total Personal Income","Billion Dollars","Nominal"
1997,20.30645,"DE","Total Personal Income","Billion Dollars","Nominal"
1998,22.475725,"DE","Total Personal Income","Billion Dollars","Nominal"
1999,24.11665,"DE","Total Personal Income","Billion Dollars","Nominal"
2000,26.5869,"DE","Total Personal Income","Billion Dollars","Nominal"
2001,29.3748,"DE","Total Personal Income","Billion Dollars","Nominal"
2002,30.36025,"DE","Total Personal Income","Billion Dollars","Nominal"
2003,31.071775,"DE","Total Personal Income","Billion Dollars","Nominal"
2004,32.2713,"DE","Total Personal Income","Billion Dollars","Nominal"
2005,33.07335,"DE","Total Personal Income","Billion Dollars","Nominal"
2006,35.003125,"DE","Total Personal Income","Billion Dollars","Nominal"
2007,36.211425,"DE","Total Personal Income","Billion Dollars","Nominal"
2008,36.4629,"DE","Total Personal Income","Billion Dollars","Nominal"
2009,36.610725,"DE","Total Personal Income","Billion Dollars","Nominal"
2010,36.9808,"DE","Total Personal Income","Billion Dollars","Nominal"
2011,39.760575,"DE","Total Personal Income","Billion Dollars","Nominal"
2012,40.12255,"DE","Total Personal Income","Billion Dollars","Nominal"
2013,40.6778,"DE","Total Personal Income","Billion Dollars","Nominal"
2014,42.422875,"DE","Total Personal Income","Billion Dollars","Nominal"
2015,44.62625,"DE","Total Personal Income","Billion Dollars","Nominal"
2016,45.928425,"DE","Total Personal Income","Billion Dollars","Nominal"
2017,48.077125,"DE","Total Personal Income","Billion Dollars","Nominal"
2018,51.150375,"DE","Total Personal Income","Billion Dollars","Nominal"
2019,52.774375,"DE","Total Personal Income","Billion Dollars","Nominal"
2020,55.04905,"DE","Total Personal Income","Billion Dollars","Nominal"
2021,59.920725,"DE","Total Personal Income","Billion Dollars","Nominal"
2022,65.208225,"DE","Total Personal Income","Billion Dollars","Nominal"
2023,68.981625,"DE","Total Personal Income","Billion Dollars","Nominal"
2024,71.9891,"DE","Total Personal Income","Billion Dollars","Nominal"
1948,3.19775,"FL","Total Personal Income","Billion Dollars","Nominal"
1949,3.32455,"FL","Total Personal Income","Billion Dollars","Nominal"
1950,3.795175,"FL","Total Personal Income","Billion Dollars","Nominal"
1951,4.29265,"FL","Total Personal Income","Billion Dollars","Nominal"
1952,4.8577,"FL","Total Personal Income","Billion Dollars","Nominal"
1953,5.41655,"FL","Total Personal Income","Billion Dollars","Nominal"
1954,5.707625,"FL","Total Personal Income","Billion Dollars","Nominal"
1955,6.5299,"FL","Total Personal Income","Billion Dollars","Nominal"
1956,7.566125,"FL","Total Personal Income","Billion Dollars","Nominal"
1957,8.374475,"FL","Total Personal Income","Billion Dollars","Nominal"
1958,9.106075,"FL","Total Personal Income","Billion Dollars","Nominal"
1959,10.053175,"FL","Total Personal Income","Billion Dollars","Nominal"
1960,10.531575,"FL","Total Personal Income","Billion Dollars","Nominal"
1961,11.165375,"FL","Total Personal Income","Billion Dollars","Nominal"
1962,12.055925,"FL","Total Personal Income","Billion Dollars","Nominal"
1963,12.93895,"FL","Total Personal Income","Billion Dollars","Nominal"
